ID	Cit_SCOPUS	yi	Year
3	496	-0.68013627	2001
3	496	0.654148768	2001
8	388	-0.271021547	1999
10	363	-0.628149137	2003
10	363	-0.602063783	2003
10	363	-0.202732554	2003
10	363	-0.100335348	2003
23	231	-1.171089504	2005
23	231	0	2005
25	212	0	1999
25	212	0	1999
29	206	-0.758703097	2002
39	185	-1.316957898	2000
39	185	1.116150524	2000
39	185	1.134058882	2000
48	183	0	2008
48	183	0	2008
52	150	-0.276863823	2005
54	161	-0.939183576	2011
87	118	0.758173745	2001
96	117	-0.562597262	2007
96	117	-0.174968993	2007
97	122	0	2006
117	113	-0.42364893	2007
122	106	0	2003
130	94	-0.847955755	2004
130	94	-0.708921359	2004
138	93	-0.447692024	2001
138	93	0	2001
148	116	-1.533627775	2013
157	87	0.411800034	2002
157	87	0.447692024	2002
181	78	-0.42364893	2009
181	78	0	2009
209	78	-1.33307963	2012
209	78	-1.156817465	2012
209	78	-0.618381314	2012
209	78	-0.536060337	2012
250	71	0	2005
270	63	0	1995
270	63	0	1995
286	56	-0.775298706	2003
292	59	-0.677666068	2008
339	62	-0.64115494	2012
339	62	-0.495103444	2012
345	53	-0.32745015	2010
359	49	-0.266108407	2005
359	49	-0.030009005	2005
396	49	-1.081420818	2010
447	41	-0.090244188	2007
459	46	-1.230122923	2008
459	46	-1.064554503	2008
459	46	-0.969152167	2008
507	36	-0.950479381	2009
507	36	-0.758173745	2009
523	46	-0.615122005	2014
630	35	-0.342828254	2010
630	35	-0.255412812	2010
676	28	-0.32745015	2011
676	28	0.344695054	2011
698	29	-1.081420818	2013
698	29	-0.344695054	2013
725	30	-1.152362696	2011
781	26	-0.142375643	2016
781	26	-0.100335348	2016
806	24	-0.13073985	2014
806	24	0.276863823	2014
806	24	0.342828254	2014
806	24	0.365443754	2014
807	30	-0.298566264	2013
807	30	-0.202732554	2013
807	30	-0.161386696	2013
807	30	-0.151140436	2013
807	30	0.090244188	2013
807	30	0.223656109	2013
814	26	0.13073985	2012
814	26	0.376885901	2012
847	24	-0.745498154	2011
847	24	-0.32745015	2011
862	24	-0.536060337	2015
977	43	-0.602063783	2019
977	43	-0.53592605	2019
977	43	-0.361358597	2019
977	43	-0.408617677	2019
1138	15	0.090244188	2005
1138	15	0.151140436	2005
1138	15	0.161386696	2005
1243	12	-0.342998256	2008
1248	13	-1.081420818	2005
1292	12	-0.42364893	2010
1328	14	-0.467145308	2016
1493	8	-0.411800034	2008
1493	8	0.457445576	2008
1619	8	0	2016
1622	14	-0.447692024	2016
1650	6	-0.972955075	2009
1815	8	-0.142375643	2018
1815	8	0	2018
1822	6	0	2017
1837	9	0.361358597	2017
1934	9	0.971584507	2020
2038	4	-1.47221949	2011
2038	4	-1.171089504	2011
2070	12	-0.244774113	2020
2070	12	-0.060072156	2020
2070	12	0.060072156	2020
2295	3	0.217858599	2019b
2522	10	-0.536060337	2020
2638	0	-0.095154482	2017
2659	0	-1.098612289	2015
2659	0	-0.853359202	2015
2659	0	-0.508840879	2015
2659	0	-0.290769289	2015
