"ID","Authors","Year","Original_cover","N_sample","Organism_1","Response_variable","Tax_func","Min_response","Max_response","Effect_func","Year_field_sample","Year_cover","Land_use_class","Min_land_use","Max_land_use","Min_catch","Max_catch","Mean_catch","Effect_size","Long","Lat","Ecoregion","S_prec","S_temp","Temp","Prec","transition","yi","vi","PCA1"
"1",148,"Gutiérrez-Cánovas,_C.,_Millán,_A.,_Velasco,_J.,_Vaughan,_I.P.,_Ormerod,_S.J.","2013","Forest",63,"Macroinvertebrados","Riqueza","Taxonômica","-","-","-","1995","1995","Agriculture","-","-","-","-","-",-0.83,-2.617965956,38.00654663,"Iberian_sclerophyllous_and_semi-deciduous_forests",43.1186981,735.9509888,11.6554003,505.0329895,"foragr",-1.1881364043926,0.0166666666666667,-1.14201340400511
"2",2038,"Schneider,_C.,_Ekschmitt,_K.,_Wolters,_V.,_Birkhofer,_K.","2011","Forest",10,"Macroinvertebrados","Riqueza","Taxonômica","-","-","-","2003","Não_informa","Agriculture","-","-","-","-","-",-0.81,8.695001487,50.81303526,"Western_European_broadleaf_forests",12.8799,642.572998,8.7530699,706.0880127,"foragr",-1.12702902604969,0.142857142857143,-0.946188101564828
"3",459,"Maloney,_K.O.,_Feminella,_J.W.,_Mitchell,_R.M.,_Miller,_S.A.,_Mulholland,_P.J.,_Houser,_J.N.","2008","Forest",13,"Macroinvertebrados","Riqueza","Taxonômica","-","-","sim","2003","1999","Agriculture","-","-","0.33","5.43","-",-0.71,-84.83284828,32.3886557,"Southeast_US_conifer_savannas",22.8348007,697.802002,17.6408005,1259.319946,"foragr",-0.887183863258093,0.1,0.782590901758164
"4",2038,"Schneider,_C.,_Ekschmitt,_K.,_Wolters,_V.,_Birkhofer,_K.","2011","Forest",10,"Macroinvertebrados","Riqueza","Taxonômica","-","-","-","2003","Não_informa","Agriculture","-","-","-","-","-",-0.68,8.695001487,50.81303526,"Western_European_broadleaf_forests",12.8799,642.572998,8.7530699,706.0880127,"foragr",-0.829114038301766,0.142857142857143,-0.966863406582132
"5",2659,"Scott,_C.G.,_McCord,_S.B.","2015","Forest",16,"Macroinvertebrados","Riqueza","Taxonômica","-","-","-","2011","1992","Agriculture","0","39.3","70","241","-",-0.64,-90.92869622,38.76397962,"Ozark_Highlands_mixed_forests",22.2609005,967.6119995,12.5023003,965.15802,"foragr",-0.758173744684044,0.0769230769230769,-0.822954525834351
"6",698,"Carlson,_P.E.,_Johnson,_R.K.,_McKie,_B.G.","2013","Forest",8,"Macroinvertebrados","Riqueza","Taxonômica","-","-","-","2009","2000","Agriculture","2","43","9","156","-",-0.63,17.9068203,60.26555721,"Sarmatic_mixed_forests",29.1436005,730.809021,5.4571199,609.3400269,"foragr",-0.741416144081269,0.2,-1.73306561711411
"7",292,"Collier,_K.J.","2008","Forest",49,"Macroinvertebrados","Riqueza_de_EPT","Taxonômica","-","-","-","1997_a_2005","Não_informa","Agriculture","-","-","-","-","-",-0.59,175.4643705,-37.7414241,"Northland_temperate_kauri_forests",15.1211996,362.0369873,13.5369997,1341.819946,"foragr",-0.677666067757962,0.0217391304347826,1.08682713047751
"8",459,"Maloney,_K.O.,_Feminella,_J.W.,_Mitchell,_R.M.,_Miller,_S.A.,_Mulholland,_P.J.,_Houser,_J.N.","2008","Forest",13,"Macroinvertebrados","Riqueza","Taxonômica","-","-","sim","2003","1999","Agriculture","-","-","0.33","5.43","-",-0.56,-84.83284828,32.3886557,"Southeast_US_conifer_savannas",22.8348007,697.802002,17.6408005,1259.319946,"foragr",-0.632833186665638,0.1,0.764938960646843
"9",209,"Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.","2012","Forest",60,"Macroinvertebrados","Riqueza","Taxonômica","-","-","sim","2010","2007","Agriculture","0","87","1","70","15",-0.55,119.5590501,28.52189586,"Jian_Nan_subtropical_evergreen_forests",50.412899,781.8250122,16.5837002,1574.199951,"foragr",-0.618381313574463,0.0175438596491228,0.85176172064844
"10",209,"Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.","2012","Forest",60,"Macroinvertebrados","Riqueza","Taxonômica","-","-","sim","2010","2007","Agriculture","0","87","1","70","15",-0.49,119.5590501,28.52189586,"Jian_Nan_subtropical_evergreen_forests",50.412899,781.8250122,16.5837002,1574.199951,"foragr",-0.536060336610567,0.0175438596491228,0.846048643502113
