ID	Authors	Year	Original_cover	Topographic	N	Organism_1	Response_variable	Tax_func	Min_response	Max_response	Effect_func	Year_field_sample	Year_cover	Land_use_original	Land_use_class	Other_anthropic_predictors	Min_land_use	Max_land_use	Recorte_Espacial	Min_catch	Max_catch	Mean_catch	Analysis	Effect_size_metric	effect_size	P	Long	Lat	Ecoregion	mean_temp	legend
1243	Wilson,_H.F.,_Xenopoulos,_M.A.	2008	Florestal	-	48	Peixes	Riqueza	Taxonômica	-	-	sim	2003	2004	Cropland	Agricultura	-	0.1	87.3	Subbacia	4.4	570.1	154	Regressão_Linear_	R²	-0.109	<0.05	-100.9334615	50.32461582	Canadian_Aspen_forests_and_parklands	1.86634	2
1292	Sutela,_T.,_Vehanen,_T.	2010	Florestal	-	108	Peixes	Riqueza	Taxonômica	-	-	sim	Não_informa	Não_informa	Agriculture	Agricultura	-	0	31	Subbacia	-	-	-	Correlação_de_Spearman	r	-0.4	<0.01	26.94255883	63.61452263	Sandinavian_and_Russian_taiga	2.51351	3
807	Ding,_S.,_Zhang,_Y.,_Liu,_B.,_Kong,_W.,_Meng,_W.	2013	Florestal	-	22	Peixes	Riqueza	Taxonômica	2	9	-	2010	2010	Residential_land	Urbano	-	-	-	Buffer_500m_ripário_(3_km_a_montante)	-	-	-	Correlação_de_Pearson_	r	0.09	NA	123.8452589	41.29506212	Manchurian_mixed_forests	6.61227	7
807	Ding,_S.,_Zhang,_Y.,_Liu,_B.,_Kong,_W.,_Meng,_W.	2013	Florestal	-	22	Peixes	Riqueza	Taxonômica	2	9	-	2010	2010	Farmland	Agricultura	-	-	-	Buffer_500m_ripário_(3_km_a_montante)	-	-	-	Correlação_de_Pearson_	r	0.22	NA	123.8452589	41.29506212	Manchurian_mixed_forests	6.61227	7
122	Wang,_L.,_Lyons,_J.,_Kanehl,_P.	2003	Florestal	-	39	Peixes	Riqueza	Taxonômica	-	-	-	1997	1992	Agriculture	Agricultura	-	1.4	14.3	Subbacia	3.5	153.1	-	Correlação_de_Pearson_	r	0	>0.05	-91.59134105	43.96622413	Upper_Midwest_US_forest-savanna_transition	7.1074	7
122	Wang,_L.,_Lyons,_J.,_Kanehl,_P.	2003	Florestal	-	39	Peixes	Riqueza	Taxonômica	-	-	-	1997	1992	Urban	Urbano	-	0.6	85.7	Subbacia	3.5	153.1	-	Correlação_de_Pearson_	r	0	>0.05	-91.59134105	43.96622413	Upper_Midwest_US_forest-savanna_transition	7.1074	7
138	Stewart,_J.S.,_Wang,_L.,_Lyons,_J.,_Horwatich,_J.A.,_Bannerman,_R.	2001	Florestal	-	38	Peixes	Riqueza	Taxonômica	6	21	sim	1998	1998	Urban	Urbano	-	0.03	14.8	Buffer_30m_até_nascente	-	-	-	Correlação_de_Spearman	r	0	NA	-88.05589812	43.71408922	Central_US_forest-grasslands_transition	7.12068	7
87	Fitzpatrick,_F.A.,_Scudder,_B.C.,_Lenz,_B.N.,_Sullivan,_D.J.	2001	Florestal	Planície	25	Peixes	Riqueza	Taxonômica	2	20	sim	1994	1992	Agriculture	Agricultura	slope,_order	1	83	Subbacia	-	-	-	Correlação_de_Spearman	r	0.64	<0.01	-88.67885475	43.92092605	Upper_Midwest_US_forest-savanna_transition	7.23222	7
39	Wang,_L.,_Lyons,_J.,_Kanehi,_P.,_Bannerman,_R.,_Emmons,_E.	2000	Florestal	Planície	43	Peixes	Riqueza	Taxonômica	0	40	sim	1975	1970	Impervious	Urbano	-	0	45	Subbacia	6.5	101.7	-	Regressão_Linear_	R²	-0.75	0.0001	-88.35770831	42.71364471	Central_US_forest-grasslands_transition	8.06315	8
39	Wang,_L.,_Lyons,_J.,_Kanehi,_P.,_Bannerman,_R.,_Emmons,_E.	2000	Florestal	Planície	43	Peixes	Riqueza	Taxonômica	0	40	sim	1997	1990	Impervious	Urbano	-	0	45	Subbacia	6.5	101.7	-	Regressão_Linear_	R²	-0.72	0.0001	-88.35770831	42.71364471	Central_US_forest-grasslands_transition	8.06315	8
3	Wang,_L.,_Lyons,_J.,_Kanehl,_P.,_Bannerman,_R.	2001	Florestal	Planície	47	Peixes	Riqueza	Taxonômica	-	-	-	1997	1990	Urban	Urbano	-	-	-	Subbacia	6.5	101.7	-	Regressão_Linear_	R²	-0.35	<0.01	-88.43607257	42.72727677	Central_US_forest-grasslands_transition	8.06315	8
3	Wang,_L.,_Lyons,_J.,_Kanehl,_P.,_Bannerman,_R.	2001	Florestal	Planície	47	Peixes	Riqueza	Taxonômica	-	-	-	1997	1990	Agriculture	Agricultura	-	-	-	Subbacia	6.5	101.7	-	Regressão_Linear_	R²	0.33	<0.01	-88.43607257	42.72727677	Central_US_forest-grasslands_transition	8.06315	8
39	Wang,_L.,_Lyons,_J.,_Kanehi,_P.,_Bannerman,_R.,_Emmons,_E.	2000	Florestal	Planície	43	Peixes	Riqueza	Taxonômica	0	40	sim	1997	1990	Agriculture	Agricultura	-	0	90	Subbacia	6.5	101.7	-	Regressão_Linear_	R²	0.65	<0.01	-88.35770831	42.71364471	Central_US_forest-grasslands_transition	8.06315	8
39	Wang,_L.,_Lyons,_J.,_Kanehi,_P.,_Bannerman,_R.,_Emmons,_E.	2000	Florestal	Planície	43	Peixes	Riqueza	Taxonômica	0	40	sim	1975	1970	Agriculture	Agricultura	-	0	90	Subbacia	6.5	101.7	-	Regressão_Linear_	R²	0.66	<0.01	-88.35770831	42.71364471	Central_US_forest-grasslands_transition	8.06315	8
1138	Limburg,_K.E.,_Stainbrook,_K.M.,_Erickson,_J.D.,_Gowdy,_J.M.	2005	Florestal	Planície	33	Peixes	Riqueza	Taxonômica	-	-	-	2001	1992	Urban	Urbano	-	-	-	Subbacia	-	-	-	Correlação_de_Pearson_	r	0.15	NA	-73.81563543	41.54389706	Northeast_US_Coastal_forests	9.44429	9
1138	Limburg,_K.E.,_Stainbrook,_K.M.,_Erickson,_J.D.,_Gowdy,_J.M.	2005	Florestal	Planície	33	Peixes	Riqueza	Taxonômica	-	-	-	2001	1992	Agriculture	Agricultura	-	-	-	Subbacia	-	-	-	Correlação_de_Pearson_	r	0.16	NA	-73.81563543	41.54389706	Northeast_US_Coastal_forests	9.44429	9
1328	Perkin,_J.S.,_Troia,_M.J.,_Shaw,_D.C.R.,_Gerken,_J.E.,_Gido,_K.B.	2016	Campestre	Planície	42	Peixes	Riqueza	Taxonômica	2	16	-	2006	2006	Landscape_alteration	Agricultura	Impoundment	20	80	Subbacia	-	-	-	GAM	R²	-0.19	0.14	-96.94335258	37.29401209	Central-Southern_US_mixed_grasslands	11.78722	12
447	Roy,_A.H.,_Freeman,_B.J.,_Freeman,_M.C.	2007	Florestal	Montanha	59	Peixes	Riqueza	Taxonômica	2	8	-	2000	2000	Urban	Urbano	-	0.5	65	Subbacia	5.4	26.8	13.1	Correlação_de_Pearson_	r	-0.09	NA	-83.71740334	34.90534404	Appalachian-Blue_Ridge_forests	12.67316	13
447	Roy,_A.H.,_Freeman,_B.J.,_Freeman,_M.C.	2007	Florestal	Montanha	59	Peixes	Riqueza	Taxonômica	2	8	-	2000	2000	Agriculture	Agricultura	-	0.1	31	Subbacia	5.4	26.8	13.1	Correlação_de_Pearson_	r	0.14	NA	-83.71740334	34.90534404	Appalachian-Blue_Ridge_forests	12.67316	13
1328	Perkin,_J.S.,_Troia,_M.J.,_Shaw,_D.C.R.,_Gerken,_J.E.,_Gido,_K.B.	2016	Campestre	Planície	62	Peixes	Riqueza	Taxonômica	-	-	-	2006	2006	Landscape_alteration	Agricultura	Impoundment	-	-	Subbacia	-	-	-	GAM	R²	-0.31	<0.01	-96.47058921	39.62086333	Central-Southern_US_mixed_grasslands	14.03951	14
1650	Cookson,_N.,_Schorr,_M.S.	2009	Florestal	Montanha	7	Peixes	Riqueza	Taxonômica	0.9	6	-	2005	2005	Housing_density	Urbano	-	-	-	Subbacia	1.81	16.29	-	Correlação_de_Spearman	r	-0.75	<0.10	-85.08334259	35.43914323	Appalachian_mixed_mesophytic_forests	14.14635	14
1248	Walters,_D.M.,_Freeman,_M.C.,_Leigh,_D.S.,_Freeman,_B.J.,_Pringle,_C.M.	2005	Florestal	-	30	Peixes	Riqueza	Taxonômica	-	-	sim	1999	1997	High_intensity_urban	Urbano	slope	-	-	Subbacia	11	126	-	Regressão_múltipla	R²	-0.63	0.03	-84.47100086	34.13425319	Appalachian_Piedmont_forests	15.77552	16
52	Roy,_A.H.,_Freeman,_M.C.,_Freeman,_B.J.,_Wenger,_S.J.,_Ensign,_W.E.,_Meyer,_J.L.	2005	Florestal	Montanha	30	Peixes	Riqueza	Taxonômica	-	-	sim	2003	1999	Impervious	Urbano	-	1.7	31	Subbacia	8.5	19.8	-	Correlação_de_Pearson_	r	-0.27	NA	-84.4453607	34.10188282	Appalachian-Blue_Ridge_forests	15.77552	16
1837	Zhu,_R.,_Li,_Q.,_Wang,_W.,_Chu,_L.,_Yan,_Y.	2017	Florestal	-	91	Peixes	Riqueza	Taxonômica	-	-	-	2012	2010	Urbanization	Urbano	-	0.01	29.86	Subbacia	-	-	-	Regressão_Linear_	R²	0.12	<0.05	118.4587576	29.8381249	Changjiang_Plain_evergreen_forests	16.17614	16
250	Helms,_B.S.,_Feminella,_J.W.,_Pan,_S.	2005	Florestal	Planície	15	Peixes	Riqueza	Taxonômica	2	16	sim	2003	2002	Urban	Urbano	Basin_size,_slope,_D-link	0.1	48.9	Subbacia	4	25	-	Correlação_de_Pearson_	r	0	NA	-84.94093483	32.79623756	Appalachian_Piedmont_forests	16.85719	17
507	Helms,_B.S.,_Schoonover,_J.E.,_Feminella,_J.W.	2009	Florestal	Planície	18	Peixes	Riqueza	Taxonômica	14	64	sim	2003	2002	Impervious	Urbano	-	1.2	40.4	Subbacia	4	25	-	Correlação_de_Pearson_	r	-0.74	<0.001	-84.84549547	32.59986214	Appalachian_Piedmont_forests	17.52602	18
459	Maloney,_K.O.,_Feminella,_J.W.,_Mitchell,_R.M.,_Miller,_S.A.,_Mulholland,_P.J.,_Houser,_J.N.	2008	Floresta/_Shurbland	Planície	13	Peixes	Riqueza	Taxonômica	-	-	sim	2003	1999	Degrated	Agricultura	basin_area	-	-	Não_informa	0.33	5.43	-	Regressão_Linear_	coef_b	-0.62	<0.05	-84.83284828	32.3886557	Southeast_US_conifer_savannas	17.68372	18
2530	Camana,_M.,_Dala-Corte,_R.B.,_Collar,_F.C.,_Becker,_F.G.	2020	Campestre	-	60	Peixes	Riqueza	Taxonômica	-	-	-	2014	1993	Other_cover	Agricultura	-	0.1	73.1	Subbacia	1.46	48.72	17.31	Regressão_Linear_	r²	-0.53	<0.001	-54.63268994	-30.20116492	Uruguayan_savanna	19.42651	19
2530	Camana,_M.,_Dala-Corte,_R.B.,_Collar,_F.C.,_Becker,_F.G.	2020	Campestre	-	60	Peixes	Riqueza	Taxonômica	-	-	-	2014	2013	Other_cover	Agricultura	-	0.3	79.6	Subbacia	1.46	48.72	17.31	Regressão_Linear_	r²	-0.27	0.07	-54.63268994	-30.20116492	Uruguayan_savanna	19.42651	19
2638	Zanini,_T.S.,_de_Queiroz,_T.M.,_Troy,_W.P.,_Nunes,_J.R.S.,_de_Lázari,_P.R.	2017	Florestal	-	9	Peixes	Riqueza	Taxonômica	8	21	-	2013	2013	Agricultura	Agricultura	-	2.32	99.97	Subbacia	-	-	-	Regressão_Linear_	R²	-0.009	<0.001	-57.57215842	-14.58270543	Chiquitano_dry_forests	24.66726	25
