ID	Authors	Year	N_sample	Organism_1	Effect_size	Long	Lat	Range	Position	Transition	LUI_100	LUI_75	LUI_50	LUI_25	Temp_media_100	Precipitacao_100	Temp_sazonal_100	Prec_sazonal_100	Precipitacao_25	Temp_media_25	Temp_sazonal_25	Prec_sazonal_25	Precipitacao_50	Temp_media_50	Temp_sazonal_50	Prec_sazonal_50	Precipitacao_75	Temp_media_75	Temp_sazonal_75	Prec_sazonal_75
3	Wang,_L.,_Lyons,_J.,_Kanehl,_P.,_Bannerman,_R.	2001	47	Peixes	0.574456265	-88.43607257	42.72727677	89	44.5	Foragr	0.97	0.970660147	0.970660147	1	8.286777943	865.2936508	1033.354041	34.63890522	876.375	8.107180893	1064.29599	34.76405144	866.8064516	8.123336054	1061.593197	35.03133029	865.3823529	8.237643543	1045.098476	34.83627126
3	Wang,_L.,_Lyons,_J.,_Kanehl,_P.,_Bannerman,_R.	2001	47	Peixes	-0.591607978	-88.43607257	42.72727677	94	50	Forurb	0.97	0.970660147	0.970660147	1	8.286777943	865.2936508	1033.354041	34.63890522	876.375	8.107180893	1064.29599	34.76405144	866.8064516	8.123336054	1061.593197	35.03133029	865.3823529	8.237643543	1045.098476	34.83627126
25	Jones_III,_E.B.D.,_Helfman,_G.S.,_Harper,_J.O.,_Bolstad,_P.V.	1999	12	Peixes	0	-83.45445615	35.14974317	78	39	Foragr	0.76	0.759649123	0.759649123	0.906666667	12.33498315	1085.745614	803.1556777	11.52078429	1081.142857	12.80732891	804.1359166	11.38686166	1075.714286	12.5362463	800.1622663	11.34165457	1083.359375	12.45860063	800.9606428	11.29350527
25	Jones_III,_E.D.,_Helfman,_G.S.,_Harper,_J.O.,_Bolstad,_P.V.	1999	12	Peixes	0	-83.45445615	35.14974317	78	39	Foragr	0.97	0.971800434	0.971800434	1.133333333	9.182259403	863.1206897	994.9856189	22.6790241	870.75	9.080458403	996.2289124	21.76068377	866.875	9.108229816	996.9019318	21.9614771	860.9264706	9.140194262	996.25262	22.37635568
39	Wang,_L.,_Lyons,_J.,_Kanehi,_P.,_Bannerman,_R.,_Emmons,_E.	2000	43	Peixes	0.81240384	-88.35770831	42.71364471	45	22.5	Foragr	0.85	0.848291572	0.848291572	0.82	14.81061225	1453.361111	758.8701652	16.0423364	1421.833333	15.03031429	768.9614156	16.59571759	1443.964286	14.89147023	761.0462799	16.1904536	1451.655738	14.8147303	760.2574333	16.0248748
39	Wang,_L.,_Lyons,_J.,_Kanehi,_P.,_Bannerman,_R.,_Emmons,_E.	2000	43	Peixes	0.806225775	-88.35770831	42.71364471	45	22.5	Foragr	0.85	0.848291572	0.848291572	0.82	14.81061225	1453.361111	758.8701652	16.0423364	1421.833333	15.03031429	768.9614156	16.59571759	1443.964286	14.89147023	761.0462799	16.1904536	1451.655738	14.8147303	760.2574333	16.0248748
39	Wang,_L.,_Lyons,_J.,_Kanehi,_P.,_Bannerman,_R.,_Emmons,_E.	2000	43	Peixes	-0.848528137	-88.35770831	42.71364471	90	45	Forurb	0.85	0.848291572	0.848291572	0.82	14.81061225	1453.361111	758.8701652	16.0423364	1421.833333	15.03031429	768.9614156	16.59571759	1443.964286	14.89147023	761.0462799	16.1904536	1451.655738	14.8147303	760.2574333	16.0248748
39	Wang,_L.,_Lyons,_J.,_Kanehi,_P.,_Bannerman,_R.,_Emmons,_E.	2000	43	Peixes	-0.866025404	-88.35770831	42.71364471	90	45	Forurb	0.85	0.848291572	0.848291572	0.82	14.81061225	1453.361111	758.8701652	16.0423364	1421.833333	15.03031429	768.9614156	16.59571759	1443.964286	14.89147023	761.0462799	16.1904536	1451.655738	14.8147303	760.2574333	16.0248748
52	Roy,_A.H.,_Freeman,_M.C.,_Freeman,_B.J.,_Wenger,_S.J.,_Ensign,_W.E.,_Meyer,_J.L.	2005	30	Peixes	-0.27	-84.4453607	34.10188282	29.3	16.35	Foragr	0.95	0	0	0.933333333	13.0908404	1074.956522	862.5422921	11.33140825	1066.857143	13.36220987	863.1188006	10.9251021	1069.709677	13.30075061	862.7073758	10.971201	1071.787879	13.26996767	861.6927472	11.06202113
87	Fitzpatrick,_F.A.,_Scudder,_B.C.,_Lenz,_B.N.,_Sullivan,_D.J.	2001	25	Peixes	0.64	-88.67885475	43.92092605	82	42	Forurb	0.95	0	0	0.933333333	13.0908404	1074.956522	862.5422921	11.33140825	1066.857143	13.36220987	863.1188006	10.9251021	1069.709677	13.30075061	862.7073758	10.971201	1071.787879	13.26996767	861.6927472	11.06202113
