ID	Authors	Year	Original_cover	Topographic	N	Organism_1	Response_variable	Tax_func	Min_response	Max_response	Effect_func	Year_field_sample	Year_cover	Land_use_original	Land_use_class	Min_land_use	Max_land_use	Recorte_Espacial	Min_catch	Max_catch	Mean_catch	Analysis	Effect_size_metric	effect_size	P	Long	Lat	Ecoregion
209	Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.	2012	Florestal	-	60	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	2010	2007	Urban	Urbano	0	81.6	Subbacia	1	70	15	Correlação_de_Spearman	r	-0.87	<0.01	119.5590501	28.52189586	Jian_Nan_subtropical_evergreen_forests
148	Gutiérrez-Cánovas,_C.,_Millán,_A.,_Velasco,_J.,_Vaughan,_I.P.,_Ormerod,_S.J.	2013	Florestal	-	63	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	1995	1995	Crop_+_Urban	Agricultura	-	-	Subbacia	-	-	-	GLM	R²	-0.83	<0.001	-2.617965956	38.00654663	Iberian_sclerophyllous_and_semi-deciduous_forests
209	Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.	2012	Florestal	-	60	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	2010	2007	Urban	Urbano	0	81.6	Subbacia	1	70	15	Correlação_de_Spearman	r	-0.82	<0.01	119.5590501	28.52189586	Jian_Nan_subtropical_evergreen_forests
1184	Lussier,_S.M.,_da_Silva,_S.N.,_Charpentier,_M.,_Heltshe,_J.F.,_Cormier,_S.M.,_Klemm,_D.J.,_Chintala,_M.,_Jayaraman,_S.	2008	Florestal	Planície	8	Macroinvertebrados	RBP	Taxonômica	-	-	-	2003	1995	Residential_	Urbano	-	-	Subbacia	-	-	-	Regressão_Linear_	R²	-0.81	NA	-71.509301	41.84425079	Northeast_US_Coastal_forests
2038	Schneider,_C.,_Ekschmitt,_K.,_Wolters,_V.,_Birkhofer,_K.	2011	Florestal	-	10	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2003	Não_informa	Agricuture	Agricultura	-	-	Buffer_circular_150m	-	-	-	Regressão_Linear_	R²	-0.81	0.005	8.695001487	50.81303526	Western_European_broadleaf_forests
1831	Pond,_G.J.,_Krock,_K.J.G.,_Cruz,_J.V.,_Ettema,_L.F.	2017	Florestal	Montanha	30	Macroinvertebrados	MMI	Taxonômica	10	90	-	2015	2011	Developed	Urbano	-	-	Subbacia	-	-	-	Regressão_Linear_	R²	-0.8	<0.001	-80.66691838	40.03647706	Appalachian_mixed_mesophytic_forests
1184	Lussier,_S.M.,_da_Silva,_S.N.,_Charpentier,_M.,_Heltshe,_J.F.,_Cormier,_S.M.,_Klemm,_D.J.,_Chintala,_M.,_Jayaraman,_S.	2008	Florestal	Planície	8	Macroinvertebrados	RBP	Taxonômica	-	-	-	2001	1995	Residential_	Urbano	-	-	Subbacia	-	-	-	Regressão_Linear_	R²	-0.75	NA	-71.509301	41.84425079	Northeast_US_Coastal_forests
1359	Mazor,_R.D.,_Schiff,_K.,_Ritter,_K.,_Rehn,_A.,_Ode,_P.	2010	Floresta/_Shurbland	-	21	Macroinvertebrados	IBI	Taxonômica	-	-	-	Não_informa	Não_informa	Developed	Urbano	4	s	Subbacia	40	10940	-	Correlação_de_Spearman	r	-0.75	0.05	-121.2160827	35.8920538	California_interior_chaparral_and_woodlands
181	Walters,_D.M.,_Roy,_A.H.,_Leigh,_D.S.	2009	Florestal	-	31	Macroinvertebrados	ICI	Taxonômica	-	-	sim	1999	1997	Urban	Urbano	-	-	Subbacia	11	126	-	Correlação_de_Pearson_	r	-0.73	<0.01	-84.47100086	34.13425319	Appalachian_Piedmont_forests
463	Fitzpatrick,_F.A.,_Harris,_M.A.,_Arnold,_T.L.,_Richards,_K.D.	2004	Florestal	-	43	Macroinvertebrados	IBI	Taxonômica	4.4	7.9	-	1986	1986	Agriculture	Agricultura	0	99	Subbacia	11	123	41	Correlação_de_Spearman	r	-0.73	<0.05	-88.77064428	41.74456435	Central_US_forest-grasslands_transition
459	Maloney,_K.O.,_Feminella,_J.W.,_Mitchell,_R.M.,_Miller,_S.A.,_Mulholland,_P.J.,_Houser,_J.N.	2008	Floresta/_Shurbland	Planície	13	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	2003	1999	Degrated	Agricultura	-	-	Não_informa	0.33	5.43	-	Regressão_Linear_	coef_b	-0.71	<0.05	-84.83284828	32.3886557	Southeast_US_conifer_savannas
130	Walsh,_C.J.	2004	Florestal	-	16	Macroinvertebrados	Riqueza_de_Famílias	Taxonômica	-	-	-	2001	Não_informa	Impervious	Urbano	-	-	Subbacia	-	-	-	Correlação_de_Pearson_	r	-0.69	NA	145.3659191	-37.80668619	Southeast_Australia_temperate_forest
1939	Chen,_K.,_Rajper,_A.R.,_Hughes,_R.M.,_Olson,_J.R.,_Wei,_H.,_Wang,_B.	2019	Florestal	-	74	Macroinvertebrados	MMI	Funcional	-	-	-	2010	2007	Urban	Urbano	5	40	Subbacia	5.9	50	-	Regressão_Linear_	r²	-0.69	0.001	118.3835312	30.70389688	Changjiang_Plain_evergreen_forests
23	Moore,_A.A.,_Palmer,_M.A.	2005	Florestal	-	29	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2001	1992	Impervious	Urbano	60	-	Subbacia	2.7	9.2	-	Regressão_Linear_	r²	-0.68	<0.001	-76.92	38.73	Northeast_US_Coastal_forests
925	Zheng,_L.,_Gerritsen,_J.,_Beckman,_J.,_Ludwig,_J.,_Wilkes,_S.	2008	Florestal	Montanha	165	Macroinvertebrados	WVSCI	Taxonômica	-	-	-	1998	1998	Agricultural	Agricultura	0	99	Subbacia	-	-	-	Correlação_de_Pearson_	r	-0.68	NA	-78.05714373	39.47952054	Appalachian-Blue_Ridge_forests
2038	Schneider,_C.,_Ekschmitt,_K.,_Wolters,_V.,_Birkhofer,_K.	2011	Florestal	-	10	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2003	Não_informa	Agricuture	Agricultura	-	-	Buffer_circular_250m	-	-	-	Regressão_Linear_	R²	-0.68	0.031	8.695001487	50.81303526	Western_European_broadleaf_forests
725	Lear,_G.,_Dopheide,_A.,_Ancion,_P.,_Lewis,_G.D.	2011	Florestal	-	22	Macroinvertebrados	Riqueza	Taxonômica	10	40	-	2007	2002	Developed	Urbano	0	100	Não_informa	-	-	-	Regressão_Linear_	R²	-0.67	NA	174.9378449	-36.97897459	Northland_temperate_kauri_forests
844	Brown,_L.R.,_May,_J.T.,_Rehn,_A.C.,_Ode,_P.R.,_Waite,_I.R.,_Kennen,_J.G.	2012	Florestal	-	59	Macroinvertebrados	IBI	Taxonômica	-	-	-	2003	2001	Urban	Urbano	0	99	Subbacia	13	227	-	Regressão_Linear_	r²	-0.66	NA	-120.4691765	35.76076457	California_interior_chaparral_and_woodlands
286	Ourso,_R.T.,_Frenzel,_S.A.	2003	Florestal	Planície	12	Macroinvertebrados	Richness	Taxonômica	-	-	-	2000	Não_informa	Impervious	Urbano	0	39.9	Subbacia	7	76	-	Correlação_de_Spearman	r	-0.65	0.021	-149.7856993	61.22283136	Cook_Inlet_taiga
507	Helms,_B.S.,_Schoonover,_J.E.,_Feminella,_J.W.	2009	Florestal	Planície	18	Macroinvertebrados	Riqueza	Taxonômica	14	64	sim	2003	2002	Impervious	Urbano	1.2	40.4	Subbacia	4	25	-	Correlação_de_Pearson_	r	-0.64	<0.001	-84.84549547	32.59986214	Appalachian_Piedmont_forests
2659	Scott,_C.G.,_McCord,_S.B.	2015	Florestal	-	16	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2011	1992	Cropland	Agricultura	0	39.3	Subbacia	70	241	-	Regressão_Linear_	R²	-0.64	<0.01	-90.92869622	38.76397962	Ozark_Highlands_mixed_forests
396	Zhang,_Y.,_Dudgeon,_D.,_Cheng,_D.,_Thoe,_W.,_Fok,_L.,_Wang,_Z.,_Lee,_J.H.W.	2010	Florestal	-	11	Macroinvertebrados	Riqueza_de_Famílias	Taxonômica	-	-	-	2006	1997	Impervious	Urbano	1.3	27.8	Subbacia	-	-	-	Regressão_Linear_	R²	-0.63	<0.01	114.6785766	23.49453313	Jian_Nan_subtropical_evergreen_forests
698	Carlson,_P.E.,_Johnson,_R.K.,_McKie,_B.G.	2013	Florestal	-	8	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2009	2000	Agriculture	Agricultura	2	43	Subbacia	9	156	-	Regressão_Linear_	r²	-0.63	NA	17.9068203	60.26555721	Sarmatic_mixed_forests
1889	Lee,_B.-Y.,_Park,_S.-J.,_Paule,_Ma.C.,_Jun,_W.,_Lee,_C.-H.	2012	Florestal	-	14	Macroinvertebrados	IBI	Taxonômica	-	-	-	2007	2007	Impervious	Urbano	-	-	Subbacia	-	-	-	Correlação_de_Pearson_	r	-0.62	0.01	127.3219646	37.38404343	Central_Korean_deciduous_forests
