ID	Authors	Year	Original_cover	N	Organism_1	Response_variable	Tax_func	Min_response	Max_response	Effect_func	Year_field_sample	Year_cover	Land_use_original	Land_use_class	Min_land_use	Max_land_use	Recorte_Espacial	Min_catch	Max_catch	Mean_catch	Analysis	Effect_size_metric	effect_size	P	Long	Lat	Ecoregion
209	Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.	2012	Forest	60	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	2010	2007	Urban	Urbano	0	81.6	Subbacia	1	70	15	Correlação_de_Spearman	r	-0.87	<0.01	119.5590501	28.52189586	Jian_Nan_subtropical_evergreen_forests
148	Gutiérrez-Cánovas,_C.,_Millán,_A.,_Velasco,_J.,_Vaughan,_I.P.,_Ormerod,_S.J.	2013	Forest	63	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	1995	1995	Crop_+_Urban	Agricultura	-	-	Subbacia	-	-	-	GLM	R²	-0.83	<0.001	-2.617965956	38.00654663	Iberian_sclerophyllous_and_semi-deciduous_forests
209	Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.	2012	Forest	60	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	2010	2007	Urban	Urbano	0	81.6	Subbacia	1	70	15	Correlação_de_Spearman	r	-0.82	<0.01	119.5590501	28.52189586	Jian_Nan_subtropical_evergreen_forests
2038	Schneider,_C.,_Ekschmitt,_K.,_Wolters,_V.,_Birkhofer,_K.	2011	Forest	10	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2003	Não_informa	Agricuture	Agricultura	-	-	Buffer_circular_150m	-	-	-	Regressão_Linear_	R²	-0.81	0.005	8.695001487	50.81303526	Western_European_broadleaf_forests
130	Walsh,_C.J.	2004	Forest	16	Macroinvertebrados	Riqueza_de_Famílias	Taxonômica	-	-	-	2001	Não_informa	Impervious	Urbano	-	-	Subbacia	-	-	-	Correlação_de_Pearson_	r	-0.69	NA	145.3659191	-37.80668619	Southeast_Australia_temperate_forest
23	Moore,_A.A.,_Palmer,_M.A.	2005	Forest	29	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2001	1992	Impervious	Urbano	60	-	Subbacia	2.7	9.2	-	Regressão_Linear_	r²	-0.68	<0.001	-76.92	38.73	Northeast_US_Coastal_forests
2038	Schneider,_C.,_Ekschmitt,_K.,_Wolters,_V.,_Birkhofer,_K.	2011	Forest	10	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2003	Não_informa	Agricuture	Agricultura	-	-	Buffer_circular_250m	-	-	-	Regressão_Linear_	R²	-0.68	0.031	8.695001487	50.81303526	Western_European_broadleaf_forests
725	Lear,_G.,_Dopheide,_A.,_Ancion,_P.,_Lewis,_G.D.	2011	Forest	22	Macroinvertebrados	Riqueza	Taxonômica	10	40	-	2007	2002	Developed	Urbano	0	100	Não_informa	-	-	-	Regressão_Linear_	R²	-0.67	NA	174.9378449	-36.97897459	Northland_temperate_kauri_forests
286	Ourso,_R.T.,_Frenzel,_S.A.	2003	Forest	12	Macroinvertebrados	Richness	Taxonômica	-	-	-	2000	Não_informa	Impervious	Urbano	0	39.9	Subbacia	7	76	-	Correlação_de_Spearman	r	-0.65	0.021	-149.7856993	61.22283136	Cook_Inlet_taiga
507	Helms,_B.S.,_Schoonover,_J.E.,_Feminella,_J.W.	2009	Forest	18	Macroinvertebrados	Riqueza	Taxonômica	14	64	sim	2003	2002	Impervious	Urbano	1.2	40.4	Subbacia	4	25	-	Correlação_de_Pearson_	r	-0.64	<0.001	-84.84549547	32.59986214	Appalachian_Piedmont_forests
