ID	Authors	Year	N_sample	Organism_1	Effect_size	Long	Lat	Range	Position	Transition	LUI_100	LUI_75	LUI_50	LUI_25	Temp_media_100	Precipitacao_100	Temp_sazonal_100	Prec_sazonal_100	Precipitacao_25	Temp_media_25	Temp_sazonal_25	Prec_sazonal_25	Precipitacao_50	Temp_media_50	Temp_sazonal_50	Prec_sazonal_50	Precipitacao_75	Temp_media_75	Temp_sazonal_75	Prec_sazonal_75
6	Sponseller,_R.A.,_Benfield,_E.F.,_Valett,_H.M.	2001	9	Macroinvertebrados	0	-79.89604984	37.2067969	33.9	24.45	Foragr	0.97	0.970660147	0.970660147	1	8.286777943	865.2936508	1033.354041	34.63890522	876.375	8.107180893	1064.29599	34.76405144	866.8064516	8.123336054	1061.593197	35.03133029	865.3823529	8.237643543	1045.098476	34.83627126
8	Lammert,_M.,_Allan,_J.D.	1999	18	Macroinvertebrados	-0.264575131	-84.00048628	41.82477085	50	25	Forurb	0.97	0.970660147	0.970660147	1	8.286777943	865.2936508	1033.354041	34.63890522	876.375	8.107180893	1064.29599	34.76405144	866.8064516	8.123336054	1061.593197	35.03133029	865.3823529	8.237643543	1045.098476	34.83627126
10	Roy,_A.H.,_Rosemond,_A.D.,_Paul,_M.J.,_Leigh,_D.S.,_Wallace,_J.B.	2003	30	Macroinvertebrados	-0.1	-84.73293875	34.4801351	31.9	22.45	Foragr	0.76	0.759649123	0.759649123	0.906666667	12.33498315	1085.745614	803.1556777	11.52078429	1081.142857	12.80732891	804.1359166	11.38686166	1075.714286	12.5362463	800.1622663	11.34165457	1083.359375	12.45860063	800.9606428	11.29350527
10	Roy,_A.H.,_Rosemond,_A.D.,_Paul,_M.J.,_Leigh,_D.S.,_Wallace,_J.B.	2003	30	Macroinvertebrados	-0.2	-84.73293875	34.4801351	31.9	22.45	Foragr	0.97	0.971800434	0.971800434	1.133333333	9.182259403	863.1206897	994.9856189	22.6790241	870.75	9.080458403	996.2289124	21.76068377	866.875	9.108229816	996.9019318	21.9614771	860.9264706	9.140194262	996.25262	22.37635568
10	Roy,_A.H.,_Rosemond,_A.D.,_Paul,_M.J.,_Leigh,_D.S.,_Wallace,_J.B.	2003	30	Macroinvertebrados	-0.538516481	-84.73293875	34.4801351	55.8	32.8	Foragr	0.85	0.848291572	0.848291572	0.82	14.81061225	1453.361111	758.8701652	16.0423364	1421.833333	15.03031429	768.9614156	16.59571759	1443.964286	14.89147023	761.0462799	16.1904536	1451.655738	14.8147303	760.2574333	16.0248748
10	Roy,_A.H.,_Rosemond,_A.D.,_Paul,_M.J.,_Leigh,_D.S.,_Wallace,_J.B.	2003	30	Macroinvertebrados	-0.556776436	-84.73293875	34.4801351	55.8	32.8	Foragr	0.85	0.848291572	0.848291572	0.82	14.81061225	1453.361111	758.8701652	16.0423364	1421.833333	15.03031429	768.9614156	16.59571759	1443.964286	14.89147023	761.0462799	16.1904536	1451.655738	14.8147303	760.2574333	16.0248748
23	Moore,_A.A.,_Palmer,_M.A.	2005	29	Macroinvertebrados	0	-76.92	38.73	60	30	Forurb	0.85	0.848291572	0.848291572	0.82	14.81061225	1453.361111	758.8701652	16.0423364	1421.833333	15.03031429	768.9614156	16.59571759	1443.964286	14.89147023	761.0462799	16.1904536	1451.655738	14.8147303	760.2574333	16.0248748
23	Moore,_A.A.,_Palmer,_M.A.	2005	29	Macroinvertebrados	-0.824621125	-76.92	38.73	77	38.5	Forurb	0.85	0.848291572	0.848291572	0.82	14.81061225	1453.361111	758.8701652	16.0423364	1421.833333	15.03031429	768.9614156	16.59571759	1443.964286	14.89147023	761.0462799	16.1904536	1451.655738	14.8147303	760.2574333	16.0248748
29	Morley,_S.A.,_Karr,_J.R.	2002	34	Macroinvertebrados	-0.640312424	-122.0307045	47.64827066	75	52.5	Foragr	0.95	0	0	0.933333333	13.0908404	1074.956522	862.5422921	11.33140825	1066.857143	13.36220987	863.1188006	10.9251021	1069.709677	13.30075061	862.7073758	10.971201	1071.787879	13.26996767	861.6927472	11.06202113
48	Nessimian,_J.L.,_Venticinque,_E.M.,_Zuanon,_J.,_De_Marco_Jr.,_P.,_Gordo,_M.,_Fidelis,_L.,_D'arc_Batista,_J.,_Juen,_L.	2008	20	Macroinvertebrados	0	-60.14954334	-1.974331191	NA	NA	Forurb	0.95	0	0	0.933333333	13.0908404	1074.956522	862.5422921	11.33140825	1066.857143	13.36220987	863.1188006	10.9251021	1069.709677	13.30075061	862.7073758	10.971201	1071.787879	13.26996767	861.6927472	11.06202113
48	Nessimian,_J.L.,_Venticinque,_E.M.,_Zuanon,_J.,_De_Marco_Jr.,_P.,_Gordo,_M.,_Fidelis,_L.,_D'arc_Batista,_J.,_Juen,_L.	2008	20	Macroinvertebrados	0	-60.14954334	-1.974331191	NA	NA	Foragr	0.63	0.631910112	0.631910112	0.34	13.19619598	1530.605505	737.7661782	12.12947814	1793.666667	11.63649146	709.8421122	10.57637707	1717.241379	12.16762497	716.2852804	10.89322158	1631.822581	12.60415422	723.7305495	11.45543468
54	Violin,_C.R.,_Cada,_P.,_Sudduth,_E.B.,_Hassett,_B.A.,_Penrose,_D.L.,_Bernhardt,_E.S.	2011	12	Macroinvertebrados	-0.734846923	-78.86289753	35.91642773	35	17.5	Foragr	0.63	0.631910112	0.631910112	0.34	13.19619598	1530.605505	737.7661782	12.12947814	1793.666667	11.63649146	709.8421122	10.57637707	1717.241379	12.16762497	716.2852804	10.89322158	1631.822581	12.60415422	723.7305495	11.45543468
96	Niyogi,_D.K.,_Koren,_M.,_Arbuckle,_C.J.,_Townsend,_C.R.	2007	10	Macroinvertebrados	-0.173205081	169.7505396	-45.75460955	100	50	Forurb	0.42	0.420992366	0.420992366	0.866666667	7.838871111	1579.961538	547.014847	56.80851	1481.25	9.971801996	519.7120781	51.14788818	1538.171429	9.331651347	521.818512	53.00820193	1552.131579	8.611971294	531.2480565	54.99030138
96	Niyogi,_D.K.,_Koren,_M.,_Arbuckle,_C.J.,_Townsend,_C.R.	2007	10	Macroinvertebrados	-0.509901951	169.7505396	-45.75460955	100	50	Foragr	0.97	0.966836735	0.966836735	1.033333333	8.34891329	866.1138211	1024.247752	34.12099603	874.4444444	8.087974495	1059.492282	34.37873798	869.2333333	8.141291698	1058.251211	34.72973633	867.884058	8.292215741	1039.498846	34.50536684
