ID;Authors;Year;N_sample;Effect_size;Temp_media;Precipitacao;Temp_sazonal;Prec_sazonal;Range;Position;Transition;Historic_land;Topography;yi;vi;Clim_mac;;-4;4
270;Collier,_K.J.;1995;29;0;14.90501034;1494.149254;288.1080197;22.48758325;7;3.5;Forurb;0;182.0404248;0;0.038461538;-1.333639134;-3;-4;0
270;Collier,_K.J.;1995;29;0;14.90501034;1494.149254;288.1080197;22.48758325;7;3.5;Forurb;0;182.0404248;0;0.038461538;-1.333639134;-2;-3;1
138;Stewart,_J.S.,_Wang,_L.,_Lyons,_J.,_Horwatich,_J.A.,_Bannerman,_R.;2001;38;-0.42;7.690156445;807.7165354;1007.243323;34.57790468;14.77;7.415;Forurb;60;20.76019596;-0.447692024;0.028571429;1.826117472;-1;-2;13
396;Zhang,_Y.,_Dudgeon,_D.,_Cheng,_D.,_Thoe,_W.,_Fok,_L.,_Wang,_Z.,_Lee,_J.H.W.;2010;11;-0.63;20.86533169;1800.680412;570.5988316;66.91293909;26.5;14.55;Forurb;70;90.79381369;-0.741416144;0.125;-1.923408608;0;-1;23
10;Roy,_A.H.,_Rosemond,_A.D.,_Paul,_M.J.,_Leigh,_D.S.,_Wallace,_J.B.;2003;30;-0.04;14.81061225;1453.361111;758.8701652;16.0423364;31.9;22.45;Foragr;60;43.01263149;-0.040021354;0.037037037;-0.3280214;0;1;21
10;Roy,_A.H.,_Rosemond,_A.D.,_Paul,_M.J.,_Leigh,_D.S.,_Wallace,_J.B.;2003;30;-0.01;14.81061225;1453.361111;758.8701652;16.0423364;31.9;22.45;Foragr;60;43.01263149;-0.010000333;0.037037037;-0.3280214;1;2;18
6;Sponseller,_R.A.,_Benfield,_E.F.,_Valett,_H.M.;2001;9;0;12.33498315;1085.745614;803.1556777;11.52078429;33.9;24.45;Foragr;60;51.76623397;0;0.166666667;0.541806006;;2;3
54;Violin,_C.R.,_Cada,_P.,_Sudduth,_E.B.,_Hassett,_B.A.,_Penrose,_D.L.,_Bernhardt,_E.S.;2011;12;-0.54;15.02234623;1154.265487;788.2552604;13.8278487;35;17.5;Forurb;70;47.33258776;-0.604155603;0.111111111;0.108083835;;;
507;Helms,_B.S.,_Schoonover,_J.E.,_Feminella,_J.W.;2009;18;-0.64;17.28112366;1312.5;708.6009878;21.61089138;39.2;20.8;Forurb;70;34.56970523;-0.758173745;0.066666667;-0.530846082;;;
2659;Scott,_C.G.,_McCord,_S.B.;2015;16;-0.64;12.35948565;985.3565217;973.9433291;23.16408842;39.3;19.65;Foragr;70;23.67324556;-0.758173745;0.076923077;0.997743274;;;
